

 tanh_sinh
===============
 float
---------------
 k_max = 3.48552
 h     = 0.0544612
                                        -1   8.85152878062477323771578996074846e-402
                                        -1   1.64474644289212188048190875569147e-352
                                        -1   2.88618856618774744384558691849587e-309
                                        -1   2.60380869245546209871740449170111e-271
                                        -1   5.34537360389757380001443633873802e-238
                                        -1    9.2161510134227978240498465938089e-209
                                        -1   4.19925088213897801236421076034983e-183
                                        -1   1.38319813769153560295945648157741e-160
                                        -1   7.96793875650631488467629395270069e-141
                                        -1   1.74323037995611937108017662579394e-123
                                        -1   2.86136001529741743309121869336987e-108
                                        -1    6.40544448585451935490645859915172e-95
                                        -1    3.30472101493941795571072006650451e-83
                                        -1    6.22803151992759833021639428313144e-73
                                        -1    6.42377671858903539883873931864645e-64
                                        -1    5.17133456576631810738890263355906e-56
                                        -1     4.4372300512037743291447970281469e-49
                                        -1    5.33480407136279713070008297441124e-43
                                        -1    1.14265995087216573792146260822052e-37
                                        -1     5.3835607330315166804758372135736e-33
      -0.999999999999999999999999999996931    6.71369968401811024138886559068207e-29
      -0.999999999999999999999999986425037      2.607169966675305821284360454592e-25
      -0.999999999999999999999978436667331    3.63627622324431154826473879409134e-22
      -0.999999999999999999986057042211565    2.06458260562849181107970023682829e-19
      -0.999999999999999995903399380523551    5.32685838764289316660944329805768e-17
      -0.999999999999999397623826329235329    6.87906354133230539028532264766696e-15
      -0.999999999999951747044045419260811    4.84012193469181287396190856751361e-13
      -0.999999999997731465463665402092267    1.99904367612824248257019845701768e-11
       -0.99999999993317295796209809459521    5.17450819721714712696187944700598e-10
      -0.999999998693485668788266375039781    8.89190028800076024365814105579057e-09
      -0.999999982169028894759493930703536    1.06703573114746394442557478439056e-07
      -0.999999822407159497660216396331985    9.34888654709557067400455439441567e-07
       -0.99999865775743346667597970867964    6.21960909484629666887145136725288e-06
      -0.999992032546652106768697271843442    3.25231911819493105380638595455954e-05
      -0.999961714633043085884411005017208    0.000137812130512233750268055731994469
      -0.999847052008741119325566886256096    0.000486108004965709965808279606411575
      -0.999479957019978434629997446459167     0.00146164141151996091789167240131361
      -0.998463730927273253282153543954412     0.00382540360413537727896094541076138
      -0.995985331444753399510113709534661     0.00887445916305657872714228529887755
      -0.990573213444122489246159135525724       0.018535575692112097748731776721581
      -0.979844110029314858923336863249556      0.0353119473757949527999110300500555
      -0.960315247133624583721349233187708      0.0620044528727914630609720252977459
      -0.927387970470564501837104599104602       0.101144652530783630739899975145799
      -0.875626807112936017258488248143781        0.15412170005483947615966658653306
      -0.799445553037267693957083071442589       0.220095774091191137130924622658424
      -0.694236376576460793670507880268063       0.294988039378568072054635904817245
      -0.557811545972413077633949646699851       0.371063644280909955926054026311904
      -0.391791557911452975239970702319512       0.437697390908581856892669265714091
      -0.202380538469470470618718811071688       0.483595879692962437077170138463126
                                         0                                       0.5
       0.202380538469470470618718811071688       0.483595879692962437077170138463126
       0.391791557911452975239970702319512       0.437697390908581856892669265714092
       0.557811545972413077633949646699851       0.371063644280909955926054026311904
       0.694236376576460793670507880268063       0.294988039378568072054635904817245
       0.799445553037267693957083071442589       0.220095774091191137130924622658424
       0.875626807112936017258488248143781        0.15412170005483947615966658653306
       0.927387970470564501837104599104602       0.101144652530783630739899975145799
       0.960315247133624583721349233187708      0.0620044528727914630609720252977459
       0.979844110029314858923336863249556      0.0353119473757949527999110300500555
       0.990573213444122489246159135525724      0.0185355756921120977487317767215809
       0.995985331444753399510113709534661     0.00887445916305657872714228529887755
       0.998463730927273253282153543954412     0.00382540360413537727896094541076138
       0.999479957019978434629997446459167     0.00146164141151996091789167240131361
       0.999847052008741119325566886256096    0.000486108004965709965808279606411575
       0.999961714633043085884411005017208    0.000137812130512233750268055731994469
       0.999992032546652106768697271843442    3.25231911819493105380638595455954e-05
        0.99999865775743346667597970867964    6.21960909484629666887145136725288e-06
       0.999999822407159497660216396331985    9.34888654709557067400455439441567e-07
       0.999999982169028894759493930703536    1.06703573114746394442557478439056e-07
       0.999999998693485668788266375039781    8.89190028800076024365814105579057e-09
        0.99999999993317295796209809459521    5.17450819721714712696187944700598e-10
       0.999999999997731465463665402092267    1.99904367612824248257019845701767e-11
       0.999999999999951747044045419260811    4.84012193469181287396190856751362e-13
       0.999999999999999397623826329235329    6.87906354133230539028532264766696e-15
       0.999999999999999995903399380523551    5.32685838764289316660944329805771e-17
       0.999999999999999999986057042211565    2.06458260562849181107970023682829e-19
